imperfective_id	perfective_id	imperfective	perfective
5505	5504	vvoziti	vvezti
5393	5394	prěnositi	prěnesti
31946	31950	privoditi	privesti
26395	31962	ježiti	naježiti
3246	3247	prědavati	prědati
918	1630	budovati	izbudovati
16845	16844	obrěmenjati	obrěmeniti
16846	16847	obtęžati	obtęžiti
2829	455	paliti	spaliti
32631	1795	žegti	izgorěti
25285	31826	dogarjati	dogorěti
21486	21686	prskati	prsknųti
30415	30417	pųkati	pųknųti
4029	4030	zakopyvati	zakopati
36498	36499	pogrebati	pogrebti
2884	258	kupovati	kupiti
2553	1610	kalkulovati	izkalkulovati
5878	5879	izčisljati	izčisliti
35903	30135	råzsčityvati	råzsčitati
1590	1589	uspokajati	uspokojiti
21406	21408	odrěkati	odrěkti
2292	571	zahvaćati	zahvatiti
5499	5501	råznositi	råznesti
4671	4672	odnositi	odnesti
5510	5511	izvoziti	izvezti
5458	5459	iznositi	iznesti
28850	28846	obnositi	obnesti
18180	18181	otěnjati	otěniti
18047	18045	očarovyvati	očarovati
16872	16871	učarovyvati	učarovati
36919	36920	odlivati	odliti
34588	29621	skopiti	oskopiti
21829	21831	zastavati	zastati
5820	5821	uględati	uględěti
21853	21854	dostigati	dostignųti
25287	25286	doganjati	dognati
1500	2363	pričinjati	pričiniti
732	1648	ustųpati	ustųpiti
36576	1227	proslavjati	proslaviti
34736	29807	oznamenovyvati	oznamenovati
6243	6244	izzyvati	izzvati
18426	18428	prěměnjati	prěměniti
711	1081	izměnjati	izměniti
31508	33647	zaklinati	zaklęti
21108	20935	pųditi	odpųditi
2627	34065	žuvati	prěžuvati
4334	4335	izbirati	izbrati
18733	18731	srųbyvati	srųbati
17588	17587	izrųbyvati	izrųbati
18094	18093	odrųbyvati	odrųbati
28174	28175	nasěkati	nasěkti
18625	18623	råzrųbyvati	råzrųbati
23101	23102	pohristijanjati	pohristijaniti
20566	20567	očrkati	očrknųti
4144	4145	izjasnjati	izjasniti
4465	16726	čistiti	izčistiti
23911	23912	pročišćati	pročistiti
33774	30134	råzčišćati	råzčistiti
30791	33545	stiskati	stisknųti
5121	5120	klicati	kliknųti
19825	579	laziti	polězti
34997	34998	zaključati	zaključiti
20715	20707	smykati	sȯmknųti
5204	5205	zatvarjati	zatvoriti
5372	5371	obmotyvati	obmotati
35890	36654	kolorovati	okolorovati
16955	16967	kombinovati	skombinovati
1139	1151	prihoditi	prijdti
5208	5206	priježđati	prijehati
21728	21730	nastavati	nastati
36808	36809	sȯvŕšati	sȯvŕšiti
3505	3535	izstųpati	izstųpiti
3112	3061	nakazyvati	nakazati
20078	20076	prikazyvati	prikazati
22331	22332	pověrjati	pověriti
679	1142	sråvnjati	sråvniti
524	1321	kompensovati	skompensovati
7206	7204	dopȯlnjati	dopȯlniti
17288	17286	dokonyvati	dokonati
22566	22567	dovŕšati	dovŕšiti
2501	597	izpȯlnjati	izpȯlniti
821	6135	komplikovati	skomplikovati
14818	14817	osloženjati	osloženiti
6137	6140	otęgčati	otęgčiti
6143	6144	otrudnjati	otrudniti
15118	15117	usložnjati	usložniti
13410	13411	utęžati	utęžiti
13418	13417	utrudnjati	utrudniti
4216	5740	obmanyvati	obmanųti
20312	20309	zakryvati	zakryti
4175	4176	ukryvati	ukryti
16774	16775	sųsrědotočati	sųsrědotočiti
19431	19435	zavŕšati	zavŕšiti
5162	5163	zaključati	zaključiti
7	2036	osųđati	osųditi
3537	18546	provoditi	provesti
22218	22219	izpovědati	izpověděti
22329	22330	pověrjati	pověriti
2977	2801	obmeđati	obmeđiti
1167	121	potvŕđati	potvŕditi
844	12259	konfiskovati	skonfiskovati
14154	14153	zaplěnjati	zaplěniti
6050	36892	blågoželati	poblågoželati
15557	15556	sjedinjati	sjediniti
36898	36895	podključati	podključiti
36897	36894	prilųčati	prilųčiti
36899	36896	prisjedinjati	prisjediniti
3514	3538	svęzyvati	svęzati
2294	2355	zavojevyvati	zavojevati
18229	18232	poběđati	poběditi
11776	11777	råzględati	råzględěti
6010	6011	råzvažati	råzvažiti
23664	23665	utěšati	utěšiti
11009	11008	postavjati	postaviti
5713	5714	spotrěbovati	spotrěbiti
3348	5046	råzmysljati	råzmysliti
1007	1872	prodȯlžati	prodȯlžiti
20619	34888	prěčiti	zaprěčiti
15103	3955	vlagati	vložiti
34850	22673	obraćati	obråtiti
22706	22707	prěobraćati	prěobråtiti
22667	22668	obraćati	obråtiti
22704	22702	prěobraćati	prěobråtiti
4449	4450	uběđati	uběditi
5429	5431	sȯzyvati	sȯzvati
8756	12276	kuhati	skuhati
33551	29713	studiti	ostuditi
29345	29342	ohlađati	ohlåditi
22505	22506	sȯvladyvati	sȯvladnųti
4527	4528	popravjati	popraviti
33051	28120	napravjati	napraviti
20025	20024	podkrěpjati	podkrěpiti
3520	23715	kašljati	zakašljati
17214	35617	čisliti	sčisliti
21079	21082	pripušćati	pripustiti
23702	23703	nakryvati	nakryti
20559	20563	oblagati	obložiti
158	1769	pokryvati	pokryti
28097	32923	napihati	naphati
17573	17574	izpȯlzati	izpȯlzti
18311	18313	popȯlzati	popȯlzti
18824	18827	skripěti	skripnųti
22743	22744	sȯzdavati	sȯzdati
6306	6307	stvarjati	stvoriti
3528	3539	prěpravjati	prěpraviti
36371	36372	prěstųpati	prěstųpiti
27576	32245	męti	råzmęti
10401	10400	ozdravjati	ozdråviti
18493	18491	prisposobjati	prisposobiti
29239	29240	odsěkati	odsěkti
36425	19755	izsěkati	izsěkti
36918	8120	izrězyvati	izrězati
33866	30251	råzkrajati	råzkrojiti
4472	3259	škoditi	poškoditi
35027	25396	dŕzati	dŕznųti
728	5616	štopati	zaštopati
1587	773	obezglåvjati	obezglåviti
21086	21090	propadati	propasti
21745	21747	postanavjati	postanoviti
2338	1256	rěšati	rěšiti
18702	18706	sklanjati	skloniti
19954	19958	odklanjati	odkloniti
34715	29789	ozdabjati	ozdobiti
23167	23168	ukrašati	ukrasiti
3070	652	posvęćati	posvętiti
25654	31879	poglųbjati	poglųbiti
5358	5357	nadigryvati	nadigrati
24792	1672	bråniti	obråniti
33470	33472	oskvŕnjati	oskvŕniti
32606	29544	oprěděljati	oprěděliti
5858	5857	izznačati	izznačiti
36870	36871	odklanjati	odkloniti
289	2874	deformovati	sdeformovati
15678	15677	snetvarjati	snetvoriti
5735	5736	izmamjati	izmamiti
23066	23065	råzmražati	råzmråziti
10074	10093	odvadnjati	odvodniti
33097	33098	izsušati	izsušiti
34519	34518	opozdnjati	opozdniti
19360	19356	zadŕživati	zadŕžati
21398	21415	odračati	odročiti
3253	3271	izčrkati	izčrknųti
21874	10058	odstranjati	odstråniti
33759	30192	råzgraničati	råzgraničiti
21726	21727	dostavjati	dostaviti
2337	2982	prěmȯlvjati	prěmȯlviti
7216	7218	dorųčati	dorųčiti
21629	21631	vrųčati	vrųčiti
665	411	žędati	požędati
34053	34050	råzvaljati	råzvaliti
33746	5320	obnažati	obnažiti
1175	797	odvŕgati	odvŕgnųti
21396	21397	odosobnjati	odosobniti
1865	771	izobražati	izobraziti
14789	14788	odvoziti	odvezti
36435	20423	lišati	lišiti
33840	33836	råzlađati	råzladiti
36763	36764	izvoditi	izvesti
686	2	opisyvati	opisati
20320	20319	zasluživati	zaslužiti
4361	20833	projektovati	zaprojektovati
17447	26183	gubiti	izgubiti
2799	35759	niščiti	izniščiti
33803	30359	råzorjati	råzoriti
14185	14186	zatrimyvati	zatrimati
36041	36042	pogaršati	pogoršiti
2909	1546	opustašati	opustošiti
2101	1282	råzvivati	råzviti
21934	21942	odstųpati	odstųpiti
19399	19400	zamysljati	zamysliti
18018	18020	obmysljati	obmysliti
22880	22882	råzpoznavati	råzpoznati
17522	17520	sdyhati	sdȯhnųti
11804	30276	råzličati	råzličiti
20117	20123	råzprostranjati	råzprostråniti
17555	2523	izkopyvati	izkopati
32865	28042	nakopyvati	nakopati
29227	29226	odryvati	odryti
33829	30238	råzkopyvati	råzkopati
21056	21055	prětravjati	prětraviti
21057	21058	prěvarjati	prěvariti
4101	4099	umenšati	umenšiti
5549	5550	napravjati	napraviti
22670	22671	obraćati	obråtiti
36320	36322	odvykati	odvyknųti
21085	21089	propadati	propasti
3550	3557	izčezati	izčeznųti
5899	5898	råzočarovyvati	råzočarovati
23010	23009	råzorųžati	råzorųžiti
5631	5632	råzstavjati	råzstaviti
21876	21880	odstranjati	odstråniti
21881	21882	odstranjati	odstråniti
3555	3558	uvaljnjati	uvoljniti
23130	23131	odključati	odključiti
5375	5376	obezhrabrjati	obezhråbriti
21418	21419	onesměljati	onesměliti
34210	34215	odčajivati	odčajati
2028	1017	odkryvati	odkryti
9783	9782	obgovarjati	obgovoriti
5373	5374	obezsiljati	obezsiliti
31929	26216	izopačati	izopačiti
23817	32547	sråmiti	osråmiti
4688	4687	odvraćati	odvråtiti
30168	30176	råzganjati	råzgnati
33242	33244	råzsějivati	råzsějati
33955	33954	råzprašati	råzpråšiti
19746	19748	izměšćati	izměstiti
17948	17953	nezadovaljati	nezadovoliti
33421	28233	nastrajati	nastrojiti
5910	5939	osparjati	osporiti
22896	9634	prězirati	prězrěti
22153	22154	råztvarjati	råztvoriti
2362	1887	råzpušćati	råzpustiti
34094	29087	odgovarjati	odgovoriti
30525	30526	råztęgati	råztęgnųti
19965	19966	odličati	odličiti
18617	18618	råzraznjati	råzråzniti
22662	22661	izvraćati	izvråtiti
23884	23883	odvlåčivati	odvlěkti
36873	22692	odvlěkati	odvråtiti
18104	18106	ogorčati	ogorčiti
34062	30582	råzvoziti	råzvezti
19654	19655	bezpokojiti	obezpokojiti
21913	21918	råzstrajati	råzstrojiti
33824	30215	råzjedinjati	råzjediniti
9752	28712	nyrjati	nyrnųti
18592	18593	råzdvajati	råzdvojiti
18594	18596	råzglašati	råzglåsiti
211	5441	dělati	sdělati
2955	681	råbiti	izråbiti
35849	35850	odomašnjati	odomašniti
17841	17838	naděvati	naděti
22526	22523	oblěkati	oblěkti
4324	4323	dariti	podariti
7266	7241	dostavati	dostati
22538	22537	odvlåčivati	odvlěkti
34536	34532	opråzdnjati	opråzdniti
3569	21347	črtati	načrtati
3568	5542	rysovati	narysovati
1973	2608	piti	izpiti
2557	26470	kapati	kapnųti
5489	5488	proježđati	projehati
28950	28939	obsyhati	obsȯhnųti
34582	34583	izsyhati	izsȯhnųti
5452	5453	usyhati	usȯhnųti
29718	29719	osušati	osušiti
14919	14159	pråšiti	zapråšiti
16293	10045	odprašati	odpråšiti
21662	21661	zaråbotyvati	zaråbotati
19926	19929	oblegčati	oblegčiti
19491	19492	jesti	sjesti
22966	22970	råzžerati	råzžrěti
22778	10769	podslušivati	podslušati
33692	31569	zaťměvati	zaťmiti
4844	4845	školiti	izškoliti
22066	22067	iztěkati	iztekti
20482	888	minovati	minųti
21877	21878	odstranjati	odstråniti
23842	23843	zasramjati	zasråmiti
6296	6298	pronevěrjati	pronevěriti
17990	17992	obhvaćati	obhvatiti
34001	34002	izšivati	izšiti
8082	16391	iznurjati	iznuriti
34313	34315	izplyvati	izplyvti
24941	34203	čaditi	načaditi
31723	26231	izpråzdnjati	izpråzdniti
4542	4543	umožnjati	umožniti
23967	23970	zamykati	zamknųti
28930	28931	obsęgati	obsęgnųti
16317	10991	osměljati	osměliti
580	2159	pobuđati	pobuditi
4329	4328	ogražati	ogroziti
5544	1493	obdarjati	obdariti
35312	35311	ulučšati	ulučšiti
33787	30151	råzdȯlbati	råzdȯlbti
17094	17096	udaljati	udaliti
22289	22290	uveličati	uveličiti
35355	35356	råzběsnjati	råzběsniti
35357	35358	råzjarjati	råzjariti
242	2217	obogaćati	obogatiti
20278	20279	vȯzbogaćati	vȯzbogatiti
19118	19119	včlenjati	včleniti
23352	23353	poråbovati	poråbiti
6199	6200	vpisyvati	vpisati
3702	3347	vstųpati	vstųpiti
35416	35415	opravnjati	opravniti
3843	3844	dověrjati	dověriti
20248	20252	uråvnjati	uråvniti
36908	36909	råzjedati	råzjesti
17438	18282	grěšiti	pogrěšiti
1647	1875	izběgati	izběgti
5132	5133	ustanavjati	ustanoviti
15511	18319	råvniti	poråvniti
5711	5710	izseljati	izseliti
22287	22288	prěuveličati	prěuveličiti
34013	30464	råzsmatrjati	råzsmotriti
11772	11771	råzdražnjati	råzdražniti
34081	28835	obměnjati	obměniti
324	17	råzměnjati	råzměniti
5464	5466	vȯzbuđati	vȯzbuditi
8033	8035	izkrikati	izkriknųti
32584	32585	vȯzklicati	vȯzkliknųti
2504	482	izključati	izključiti
1643	2143	izčrpyvati	izčrpati
20774	20778	umarjati	umoriti
1692	1695	izganjati	izgnati
4330	4331	prěživati	prěžiti
4781	3603	izkušati	izkusiti
2023	1005	objasnjati	objasniti
4800	4801	izbuhati	izbuhnųti
5570	5155	izkoristyvati	izkoristati
34034	30576	råzvědyvati	råzvědati
16181	8146	izvoziti	izvezti
22584	22585	podvŕgati	podvŕgnųti
931	2602	izstavjati	izstaviti
682	2609	izražati	izraziti
22511	22512	izvlastnjati	izvlastniti
587	1162	råzširjati	råzširiti
22739	22742	vȯzvyšati	vȯzvysiti
22293	22294	vȯzveličivati	vȯzveličati
31423	33356	izmagati	izmogti
33359	33360	iznuđati	iznuditi
22139	22140	iztrgati	iztrgnųti
36722	26267	izvlěkati	izvlěkti
35072	35071	ulegšati	ulegšiti
2670	2291	gasnųti	ugasnųti
34437	29446	omlěvati	omlěti
21061	21063	pripadati	pripasti
5661	5660	spadati	spasti
36693	14027	zabolěvati	zabolěti
14077	36694	zahvorěvati	zahvorěti
5662	5663	odpadati	odpasti
26218	36716	izpadati	izpasti
1558	2847	råzdųvati	råzdųti
33361	33362	bzděti	bzdnųti
859	5594	krmiti	nakrmiti
18109	18112	ograđati	ogråditi
18139	18146	oplođati	oploditi
1082	1089	pȯlniti	napȯlniti
24	725	zapȯlnjati	zapȯlniti
21828	21830	zastavati	zastati
763	2956	izvaljnjati	izvoljniti
5113	3268	zastrěljati	zastrěliti
21801	21808	ustaljati	ustaliti
3622	3623	naznačati	naznačiti
2456	2035	blěskati	blěsknųti
16315	10916	poplavjati	poplaviti
1103	2295	råzcvětati	råzcvěsti
29278	29279	odtěkati	odtekti
5421	5420	utěkati	utekti
6070	6072	iztěkati	iztekti
5419	5418	protěkati	protekti
1202	2921	lětati	poletěti
2978	2025	odlětati	odletěti
5450	5451	ulětati	uletěti
28802	28803	oblětati	obletěti
5460	5461	vȯzlětati	vȯzletěti
9093	14120	mglati	zamglati
3629	3630	sgybati	sgnųti
34261	29114	odgybati	odgnųti
1939	34870	slědovati	poslědovati
18014	18009	obmanyvati	obmanųti
19128	19130	vȯzbranjati	vȯzbråniti
1834	2286	zabranjati	zabråniti
1976	2136	prinuđati	prinuditi
11250	14927	prědpovědati	prědpověděti
3127	2897	prědskazyvati	prědskazati
3633	3634	zabezpamęćati	zabezpamętiti
2169	2170	zabyvati	zabyti
633	634	izvinjati	izviniti
21026	21099	prašćati	prostiti
18087	18089	odpušćati	odpustiti
13	2115	osnovyvati	osnovati
27072	28794	leděněti	obleděněti
4140	2168	mråziti	zamråziti
33675	31528	zamrzati	zamrznųti
17812	9263	mråzosušati	mråzosušiti
1818	28228	strašiti	nastrašiti
34637	29646	smažiti	osmažiti
11793	4266	råzjebyvati	råzjebati
32814	27998	hmuriti	nahmuriti
17543	17540	iziskyvati	iziskati
17826	17831	nabirati	nabrati
35425	35426	obobćati	obobćiti
11569	11568	proizvoditi	proizvesti
31309	29783	vȯlgnųti	ovȯlgnųti
37182	37181	vlězati	vlěžti
37188	37187	zalězati	zalězti
37180	37179	izlězati	izlězti
37186	37185	prělězati	prělězti
30326	30327	råzmokati	råzmoknųti
22189	36555	vęznųti	uvęznųti
37184	37183	prolězati	prolězti
27710	37307	moknųti	namoknųti
3191	3192	dobyvati	dobyti
32973	29798	pozlaćati	pozlåtiti
33141	28145	narěkati	narěkti
17517	17514	izdavati	izdati
33278	28187	naslađati	naslåditi
28089	28109	napajati	napojiti
5159	5160	podavati	podati
22900	22901	zirkati	zirknųti
36579	36578	proslavjati	proslaviti
26532	32025	klejiti	sklejiti
7688	28741	gryzati	obgryzti
2104	4027	idti	pojdti
2175	3274	jehati	pojehati
21652	21655	zablųđati	zablųditi
5482	5483	uhoditi	ujdti
27365	28826	lysěti	oblysěti
34571	29639	slěpnųti	oslěpnųti
17980	16854	obezuměvati	obezuměti
17568	17569	izmirati	izmrěti
34408	29354	hroměti	ohroměti
32295	29452	mŕtvěti	omŕtvěti
28776	28774	obježđati	objezditi
5480	5481	prohoditi	projdti
5462	5463	vȯzhoditi	vȯzȯjdti
34748	29810	zvěrěti	ozvěrěti
34394	34396	ogovarjati	ogovoriti
2591	1051	hvatati	shvatiti
19030	19031	uděljati	uděliti
32875	28065	namašćati	namastiti
29794	29793	ozelenjati	ozeleniti
1679	1226	pozdravjati	pozdråviti
925	30321	mlěti	råzmlěti
34192	29284	durěti	odurěti
7211	16416	dorastati	doråsti
5970	5971	odgadyvati	odgadati
23938	23937	ugadyvati	ugadati
36921	36922	izkovyvati	izkovati
6138	6141	otęgčati	otęgčiti
1825	1189	prědavati	prědati
3652	3675	råzdavati	råzdati
5167	5704	obslugovati	obslužiti
4046	34190	věsiti	pověsiti
28324	28322	navěšati	navěsiti
7724	14307	harmonizovati	sųharmonizovati
21199	21200	vpręgati	vpręgti
21236	21237	zapręgati	zapręgti
3254	3272	spěšiti	pospěšiti
20421	36547	lęgti	izlęgti
25702	26179	gojiti	izgojiti
15124	15123	uzdravjati	uzdråviti
36661	36660	izcěljati	izcěliti
4130	4131	lěčiti	izlěčiti
1335	1552	slyšati	uslyšati
36532	36533	izslušivati	izslušati
23893	23892	podgrěvati	podgrěti
32416	27991	nagrěvati	nagrěti
2205	2229	pomagati	pomogti
1828	18692	hovati	shovati
20161	20160	skryvati	skryti
1713	3067	obsvětljati	obsvětliti
4049	4050	biti	pobiti
3709	3710	udarjati	udariti
19359	19353	zadŕživati	zadŕžati
12103	72	sȯdŕživati	sȯdŕžati
15044	15042	strimyvati	strimati
31446	33351	vyti	zavyti
5897	5896	upokarnjati	upokorniti
34858	34860	ponižati	poniziti
4507	4508	unižati	uniziti
36690	36692	bolěti	zabolěti
13422	13444	uvadnjati	uvodniti
10234	10233	opoznavati	opoznati
11845	11844	råzpoznavati	råzpoznati
32633	32639	zažigati	zažegti
29721	29724	osvěćati	osvětiti
10357	10354	osvětljati	osvětliti
21427	21428	pogrųžati	pogrųziti
14130	16389	zanurjati	zanuriti
13849	13847	vsađati	vsaditi
7278	7274	dovoziti	dovezti
22416	22417	vvoziti	vvezti
28051	6088	nalagati	naložiti
22009	22010	prisųđati	prisųditi
20274	20276	vtiskati	vtisknųti
4849	4850	ulěpšati	ulěpšiti
36192	36193	utělesnjati	utělesniti
36187	36188	vȯplȯćati	vȯplȯtiti
18254	18255	podgovarjati	podgovoriti
28342	28316	navoditi	navesti
5612	4494	podstrěkati	podstrěknųti
32646	30593	råzžigati	råzžegti
1699	2162	vključati	vključiti
5546	3687	povyšati	povysiti
33056	28139	narastati	naråsti
22862	22863	označati	označiti
21244	21246	zaražati	zaraziti
5523	5524	zadavati	zadati
1833	1836	vplyvati	vplyvti
1620	1619	uvědamjati	uvědomiti
3692	3688	izvěšćati	izvěstiti
2788	1645	narušati	narušiti
9466	1195	naslědovati	naslěditi
19401	32371	započinati	započęti
36847	21732	nastojivati	nastojati
6276	6277	nadyhati	nadȯhnųti
16327	11063	poučati	poučiti
28965	28967	obučati	obučiti
622	1030	uražati	uraziti
5151	5153	naměrjati	naměriti
34992	34993	interesovati	zainteresovati
3896	16878	tȯlmačiti	prětȯlmačiti
5990	5991	prěslušivati	prěslušati
5988	5989	råzpytyvati	råzpytati
1849	1772	prěryvati	prěrvati
19418	19419	zastrašati	zastrašiti
32979	32980	priučati	priučiti
2414	3097	vtrgati	vtrgnųti
21207	21209	vpadati	vpasti
36802	36803	iznahoditi	iznajdti
8063	8061	izmysljati	izmysliti
6234	6236	råzslědovati	råzslěditi
20088	20087	prizyvati	prizvati
35546	35545	vměšivati	vměšati
35547	35548	vtęgati	vtęgnųti
25617	29292	gladiti	ogladiti
33626	33625	zaglađati	zagladiti
22550	22551	navodnjati	navodniti
34548	34546	orašati	orositi
4488	4489	obvadnjati	obvodniti
20162	20166	slųčati	slųčiti
19406	19439	žartovati	zažartovati
3707	3750	skakati	skočiti
5547	3708	odskakati	odskočiti
23919	23918	vȯzskakati	vȯzskočiti
36409	20256	uspravědlivjati	uspravědliviti
32537	29538	opravdyvati	opravdati
35458	35459	sųpostavjati	sųpostaviti
20789	20790	usmŕćati	usmŕtiti
20781	20779	umŕtvjati	umŕtviti
33930	30370	råzpaljati	råzpaliti
3010	112	cělovati	pocělovati
20480	22183	měsiti	zaměsiti
2555	26534	klęčati	klęknųti
21536	21437	rušiti	porušiti
18913	18917	stukati	stuknųti
10414	18194	označati	označiti
36850	36851	lakovati	polakovati
3713	3714	odstavati	odstati
27280	27282	lokati	loknųti
1055	3151	trvati	potrvati
29000	28980	obvoditi	obvesti
4673	4674	odvoditi	odvesti
5540	558	izvoditi	izvesti
20521	20522	nalegati	nalegti
18377	18376	poznavati	poznati
505	825	ostavjati	ostaviti
4594	4595	prodȯlžati	prodȯlžiti
33150	28215	nastavjati	nastaviti
23059	23060	popušćati	popustiti
29191	29187	odpušćati	odpustiti
20912	20913	napušćati	napustiti
5241	5240	izpušćati	izpustiti
18533	18534	propušćati	propustiti
18567	18568	pušćati	pustiti
435	414	dozvaljati	dozvoliti
19753	19754	izravnjati	izråvniti
6014	6016	podvažati	podvažiti
450	881	osvobađati	osvoboditi
334	8907	lizati	liznųti
18005	18004	oblizyvati	oblizati
2658	18712	lgati	slgati
